상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,lon,lat
A,골목상권,1000275,보문로26길,127.02135356029717,37.58720469334633
A,골목상권,1000276,보문로31길,127.01568136950489,37.58816964537452
D,발달상권,1001045,동작구 총신대입구역_1,126.9808235857054,37.48597765914373
D,발달상권,1001046,서울 관악구 신림역_4,126.9302137115341,37.486436139402514
D,발달상권,1001047,뱅뱅사거리_1,127.03346945025531,37.48862343831305
D,발달상권,1001048,뱅뱅사거리,127.02982945599554,37.49098505346684
D,발달상권,1001049,개봉동 현대아파트 인근,126.85579690602577,37.48956732297291
D,발달상권,1001050,교대역_1,127.01156764763162,37.490790031276504
D,발달상권,1001260,창동역,127.04899997749135,37.652806377355745
D,발달상권,1001261,서울 노원구 노원역_1,127.0626902470538,37.65411533094398
D,발달상권,1001262,서울 노원구 노원역_2,127.05890567576205,37.654639851230215
D,발달상권,1001263,서울 노원구 노원역_3,127.0625105241541,37.65601649888629
D,발달상권,1001217,서울 종로구 종로5가역_1,127.0013923109485,37.570421097077954
D,발달상권,1001255,서울 은평구 연신내역_3,126.92047159847978,37.62069666168165
D,발달상권,1001259,서울 강북구 수유역_3,127.0272040015457,37.64085736435167
R,전통시장,1001310,구의시장,127.08846716777747,37.545502421516225
R,전통시장,1001322,동부시장,127.05259999071382,37.56730095286712
R,전통시장,1001323,답십리시장,127.05819657291528,37.57364133312369
R,전통시장,1001324,전곡시장,127.06883022580342,37.57808652423728
R,전통시장,1001325,청량리청과물시장,127.04318987696023,37.580116916239625
R,전통시장,1001451,사당시장,126.97513722688751,37.483003271393486
R,전통시장,1001468,남부종합시장,126.98489227985215,37.49477208354063
R,전통시장,1001469,양재시장,127.0383066275842,37.484071877750694
R,전통시장,1001407,등마루시장,126.86016068133681,37.556706219310875
R,전통시장,1001408,신월중앙시장,126.84434565394928,37.55884882076419
R,전통시장,1001450,남성역골목시장,126.97245743180964,37.48348922176639
D,발달상권,1001042,서울 서초구 남부터미널역_3,127.0161915795939,37.48678000320049
D,발달상권,1001043,동작구 총신대입구역_2,126.98302843524853,37.48591492585732
D,발달상권,1001044,양재역_3,127.03115058953671,37.48651571376833
D,발달상권,1001030,양재역_2,127.0363616986534,37.48365802839606
D,발달상권,1001031,서울 관악구 신림역_1,126.92883756748512,37.4829574265654
D,발달상권,1001032,서울 관악구 신림역_2,126.93080498641467,37.482841464045244
D,발달상권,1001033,서울 서초구 남부터미널역_1,127.01878025964147,37.48431986735238
A,골목상권,1000379,동일로173가길,127.07243887072359,37.6220436979359
A,골목상권,1000380,동일로192길,127.0755690585679,37.62581687022158
A,골목상권,1000381,동일로242길,127.05866096147015,37.67488501157822
A,골목상권,1000071,이태원로54길,127.00136905188955,37.536543574586496
A,골목상권,1000072,장문로45길,127.00046384506732,37.52870487172285
A,골목상권,1000073,청파로47길,126.96792002437306,37.544549114266864
R,전통시장,1001490,길동복조리시장,127.14367486055193,37.538447392541784
R,전통시장,1001332,사가정시장,127.09044539460683,37.58126145968097
R,전통시장,1001333,중화제일시장,127.07544588440813,37.604814912176174
R,전통시장,1001334,태능시장,127.07653767941356,37.59826400907772
R,전통시장,1001335,묵1동도깨비시장,127.0809514877725,37.61687550606394
R,전통시장,1001336,우림골목시장,127.09805213757389,37.59766245247333
R,전통시장,1001337,유영시장,127.09684393083963,37.591572748702255
R,전통시장,1001338,돈암제일시장,127.01587463871735,37.591890717924635
R,전통시장,1001377,영천시장,126.96129826420189,37.5704598113684
D,발달상권,1001057,교대역_2,127.01596682099772,37.493267288811936
D,발달상권,1001058,역삼역_1,127.03722618303436,37.49411845945068
D,발달상권,1001059,교대역_3,127.01204311976798,37.494240841590305
D,발달상권,1001060,가락시장,127.113487750174,37.49406981478418
D,발달상권,1001061,방배동카페골목,126.98638497674007,37.49467315423672
D,발달상권,1001062,서울 강남구 강남역_1,127.02732075688415,37.495346534821586
D,발달상권,1001181,서울 광진구 군자역,127.07848699391494,37.55666383323358
D,발달상권,1001123,학동사거리_1,127.036493181618,37.52150923659846
D,발달상권,1001017,관악구 사당역_3,126.98097322504685,37.47552597828984
D,발달상권,1001018,포이사거리_2,127.04417032889133,37.476591455894564
D,발달상권,1001019,포이사거리_1,127.04610381207898,37.47700518170915
D,발달상권,1001020,장지역,127.12204320261074,37.4772484811463
D,발달상권,1001021,가산디지털단지역_1,126.88456732142473,37.47198421841353
D,발달상권,1001038,구로디지탈1단지,126.89508680818014,37.48380625597272
D,발달상권,1001039,서울 서초구 남부터미널역_2,127.01369267538392,37.486428926052625
D,발달상권,1001040,서울 관악구 신림역_3,126.92852988341207,37.485489074322906
D,발달상권,1001041,서울 강남구 수서역,127.10338078395336,37.487636890436846
A,골목상권,1000377,해등로16길,127.0426668642167,37.655475746053135
A,골목상권,1000378,공릉로58길,127.07397072659852,37.63615219120444
A,골목상권,1000298,정릉로27길,127.01286535692006,37.60697367210774
A,골목상권,1000299,정릉로8길,126.99792749494841,37.607145543206094
A,골목상권,1000376,우이천로4다길,127.04031008537356,37.63521344861366
R,전통시장,1001292,이태원제일시장,126.98779125338027,37.53914684239876
R,전통시장,1001293,보광시장,127.00037333031572,37.52701999855624
R,전통시장,1001278,남평화시장,127.010810038063,37.569168226697855
R,전통시장,1001279,동평화시장,127.01307393450413,37.56924908729413
R,전통시장,1001280,제일평화시장,127.01156831600028,37.56837527870061
A,골목상권,1000300,종암로16길,127.03694960878664,37.59824700224238
R,전통시장,1001281,청평화시장,127.01500962462404,37.569591235352874
R,전통시장,1001282,약수시장,127.01055869791927,37.552779117727084
R,전통시장,1001283,백학시장,127.019400052715,37.56369808221292
R,전통시장,1001284,서울중앙시장,127.01963859917295,37.566959648728094
R,전통시장,1001309,조양시장,127.06748167951677,37.538911952569784
R,전통시장,1001368,연서시장,126.92167346415707,37.619571231155106
R,전통시장,1001369,갈현시장,126.91740988335779,37.623739895187256
R,전통시장,1001370,역촌중앙시장,126.91622088862053,37.6132785892496
R,전통시장,1001371,대조시장,126.92685978763448,37.60950150921935
D,발달상권,1001098,포스코사거리_1,127.05400674639628,37.50896055541883
D,발달상권,1001099,포스코사거리_2,127.05624676889406,37.50973437396545
D,발달상권,1001100,강남구 논현역_3,127.02184113245826,37.512106377989184
D,발달상권,1001101,선정릉역_2,127.04620448208236,37.5119642098126
D,발달상권,1001102,서울 강남구 학동역_1,127.02947611581212,37.512618291870304
D,발달상권,1001103,코엑스,127.05975407071885,37.51107514837405
D,발달상권,1001104,삼성역_3,127.06388298678927,37.511703690470064
D,발달상권,1001055,서울 서초구 서초역,127.00894459146538,37.49331307953431
D,발달상권,1001056,서울 송파구 가락시장역,127.11918680395776,37.49393806173699
D,발달상권,1001027,가산디지털단지역_3,126.8864341433713,37.47843725502126
D,발달상권,1001028,서울 관악구 서울대입구역_2,126.95484171774832,37.48387123577071
D,발달상권,1001029,양재역_1,127.0317592337244,37.48195644871718
D,발달상권,1001011,서울 금천구 시흥1동_4,126.90151548643851,37.452943165976684
D,발달상권,1001054,서울 강남구 대치역_2,127.05970614658726,37.49350556247691
D,발달상권,1001012,양재 화물트럭터미널앞_1,127.03572950785127,37.46195288464275
D,발달상권,1001013,양재 화물트럭터미널앞_2,127.0369515023419,37.464484351736736
D,발달상권,1001014,양재동 꽃시장,127.04009514194523,37.466798926021674
D,발달상권,1001015,서울 금천구 독산1동_1,126.89647392543884,37.47001302761072
D,발달상권,1001016,서울 관악구 대학동_1,126.9397582692801,37.470457486755116
A,골목상권,1000155,아차산로78길,127.10782968128034,37.54628821661367
A,골목상권,1000156,용마산로21길,127.08506933925977,37.562704962308366
