,code,station,07-10 on avg,07-10 off avg,10-17 on avg,10-17 off avg,17-22 on avg,17-22 off avg,X,Y,07-10 totavg,10-17 totavg,17-22 totavg,commute,Total,com,coms,many75,trans
0,1001,종로2가사거리,275.31720430107526,163.2258064516129,149.15668202764977,169.7626728110599,154.6290322580645,146.65806451612903,37.56976415,126.9877862,219.27150537634407,159.45967741935482,150.64354838709676,369.9150537634408,529.3747311827956,0.6987773159042369,0,0,1
1,1002,창경궁.서울대학교병원,276.7521685254027,487.52416356877325,190.70791290493892,139.9644184811471,181.10855018587358,37.64758364312268,37.57917886,126.9965202,382.13816604708796,165.33616569304303,109.37806691449813,491.51623296158607,656.852398654629,0.7482902307555153,1,0,1
2,1003,명륜3가.성대입구,257.3457249070632,382.85006195786866,254.16250663834307,224.9060010621349,310.292936802974,119.23271375464684,37.58270882,126.9982902,320.0978934324659,239.534253850239,214.76282527881042,534.8607187112764,774.3949725615154,0.690682064918479,0,1,1
3,1004,종로2가.삼일교,31.8125,166.36197916666666,108.09263392857143,109.46316964285714,174.04375,100.3578125,37.56858223,126.9875072,99.08723958333333,108.77790178571428,137.20078124999998,236.2880208333333,345.06592261904757,0.6847619696546942,0,0,1
4,1005,혜화동로터리.여운형활동터,202.93807641633728,276.62450592885375,132.3416149068323,241.55223037831732,108.71146245059289,169.7509881422925,37.58622998,127.0016943,239.7812911725955,186.9469226425748,139.2312252964427,379.0125164690382,565.9594391116129,0.6696814122651166,0,0,0
5,1006,서대문역사거리,353.4063260340632,203.9756690997567,303.2794577685089,130.31595411887383,332.00145985401457,197.41897810218978,37.56620752,126.9669608,278.69099756690997,216.79770594369137,264.71021897810215,543.4012165450122,760.1989224887036,0.7148145050851306,0,1,0
6,1007,서울역사박물관.경희궁앞,152.97764227642276,516.6321138211382,192.28789198606273,182.40592334494772,274.89756097560974,91.16463414634147,37.56909809,126.9704199,334.8048780487805,187.34690766550523,183.0310975609756,517.8359756097561,705.1828832752614,0.7343286229589663,1,1,1
7,1008,서울역사박물관.경희궁앞,85.06026365348399,449.20338983050846,171.46004842615014,133.10653753026634,398.3491525423729,106.07118644067796,37.56933602,126.970442,267.13182674199624,152.28329297820824,252.21016949152545,519.3419962335217,671.62528921173,0.7732615262940152,1,0,1
8,1009,광화문,257.5067567567568,440.9684684684685,234.28667953667954,237.45945945945945,314.8216216216216,151.47702702702702,37.57005075,126.9752406,349.2376126126126,235.8730694980695,233.1493243243243,582.386936936937,818.2600064350065,0.711738240115485,0,1,1
9,1010,광화문,68.40856481481482,325.8969907407407,175.140376984127,197.54464285714286,342.84722222222223,163.10902777777778,37.57029571,126.9780909,197.15277777777777,186.34250992063494,252.978125,450.1309027777778,636.4734126984127,0.7072265609169575,0,0,1
10,1011,종로1가,86.87378640776699,417.30960086299893,286.4969949144707,228.5677300046232,449.021359223301,184.5915857605178,37.570072,126.981,252.09169363538297,257.53236245954696,316.8064724919094,568.8981661272924,826.4305285868393,0.6883799018171362,0,1,1
11,1012,종로1가,186.37820512820514,449.9369658119658,200.5934065934066,234.22847985347985,381.14102564102564,166.12692307692308,37.57026661,126.9813906,318.15758547008545,217.4109432234432,273.63397435897434,591.7915598290598,809.2025030525031,0.7313269022237107,1,1,1
12,1013,종로2가,61.5,182.0382262996942,178.9180865006553,187.66087811271296,316.95137614678896,144.72064220183486,37.57008725,126.9855411,121.7691131498471,183.28948230668414,230.83600917431193,352.605122324159,535.8946046308431,0.6579747571204881,0,0,1
13,1014,종로2가,162.5529411764706,283.07372549019607,192.79932773109243,196.56941176470588,308.568,144.50211764705884,37.57026795,126.986254,222.81333333333333,194.68436974789915,226.53505882352943,449.34839215686276,644.0327619047619,0.6977104562629555,0,0,1
14,1015,종로3가.탑골공원,105.95590828924163,161.33774250440916,251.8968253968254,230.86545729402872,378.26719576719574,135.77777777777777,37.57018754,126.989569,133.6468253968254,241.38114134542707,257.0224867724868,390.6693121693122,632.0504535147393,0.6180983021163229,0,0,1
15,1016,종로3가.탑골공원,91.11819021237304,347.2179132040628,198.81677878907797,284.76850019786303,267.7623268698061,177.601108033241,37.57038869,126.9899683,219.16805170821794,241.79263949347052,222.68171745152353,441.84976915974147,683.642408653212,0.6463170856094103,0,0,1
16,1017,종로4가.종묘,27.806878306878307,119.45414462081128,131.26455026455025,154.9750566893424,198.30264550264548,64.3899470899471,37.57041688,126.9947287,73.6305114638448,143.11980347694634,131.3462962962963,204.97680776014107,348.0966112370874,0.5888503396562286,0,0,1
17,1018,종로4가.종묘,32.857294994675186,263.68583599574015,114.82473756275672,217.36832496576903,104.54568690095846,88.35271565495208,37.57060029,126.995277,148.27156549520765,166.09653126426286,96.44920127795527,244.72076677316292,410.81729803742576,0.595692459743671,0,0,0
18,1019,종로5가.광장시장,84.2239185750636,236.78456318914334,260.4420210832425,290.99491094147584,316.6066157760814,137.78625954198472,37.57071571,126.9988533,160.5042408821035,275.71846601235916,227.19643765903305,387.70067854113654,663.4191445534957,0.5843977849057592,0,0,1
