,code,station,07-10 on avg,07-10 off avg,10-17 on avg,10-17 off avg,17-22 on avg,17-22 off avg,X,Y,07-10 totavg,10-17 totavg,17-22 totavg,commute,Total,com,coms,many75,trans
34,30034,곤지암,5157,4460,3185,2588,3475,4263,37.351315,127.34674,4808.5,2886.5,3869.0,8677.5,11564.0,0.75038913870633,1,0,0
35,30035,공덕,12664,30702,10848,9918,22109,13952,37.544018,126.951592,21683.0,10383.0,18030.5,39713.5,50096.5,0.7927400117772698,1,0,1
36,30036,공릉(서울과학기술대),33351,16447,17214,14599,15647,27845,37.625742,127.072896,24899.0,15906.5,21746.0,46645.0,62551.5,0.7457055386361638,0,0,1
37,30037,공항시장,7851,2841,4269,4065,3101,7593,37.563726,126.810678,5346.0,4167.0,5347.0,10693.0,14860.0,0.7195827725437416,0,0,1
38,30038,공항화물청사,2080,13422,1952,1890,7497,1470,37.458366,126.476241,7751.0,1921.0,4483.5,12234.5,14155.5,0.8642930309773587,1,0,1
39,30039,과천,16205,5542,8124,5170,5476,10544,37.433021,126.996568,10873.5,6647.0,8010.0,18883.5,25530.5,0.7396447386459333,0,0,0
40,30040,관악,26192,8414,10257,8415,7957,18037,37.419232,126.908706,17303.0,9336.0,12997.0,30300.0,39636.0,0.7644565546472903,1,0,1
41,30041,광나루(장신대),36803,21143,18929,15784,18351,24854,37.545303,127.10357,28973.0,17356.5,21602.5,50575.5,67932.0,0.7445018547959724,0,0,1
42,30042,광명,8793,3671,4108,3003,5117,5912,37.416182,126.884466,6232.0,3555.5,5514.5,11746.5,15302.0,0.7676447523199582,1,0,0
43,30043,광명사거리,79374,22298,31565,29790,25493,58981,37.479252,126.854876,50836.0,30677.5,42237.0,93073.0,123750.5,0.7521020117090436,1,1,1
44,30044,광운대,26411,9859,11992,10959,9172,18277,37.623632,127.061835,18135.0,11475.5,13724.5,31859.5,43335.0,0.7351909541940694,0,0,1
45,30045,광화문(세종문화회관),11550,148973,33900,39963,102169,23726,37.571026,126.976669,80261.5,36931.5,62947.5,143209.0,180140.5,0.7949850255772577,1,1,1
46,30046,광흥창(서강),18440,23323,12059,10027,16474,14162,37.547456,126.931993,20881.5,11043.0,15318.0,36199.5,47242.5,0.7662486108906176,1,0,1
47,30047,교대(법원.검찰청),19663,73625,31404,33163,60067,27988,37.493415,127.01408,46644.0,32283.5,44027.5,90671.5,122955.0,0.7374364604936765,0,1,1
48,30048,구로,33287,50675,23234,23099,36498,30990,37.503039,126.881966,41981.0,23166.5,33744.0,75725.0,98891.5,0.76573820803608,1,1,1
49,30049,구로디지털단지,142833,156501,65215,58934,116539,114905,37.485266,126.901401,149667.0,62074.5,115722.0,265389.0,327463.5,0.8104384152737634,1,1,1
50,30050,구룡,3090,4742,3090,1776,2672,2343,37.486839,127.058856,3916.0,2433.0,2507.5,6423.5,8856.5,0.7252865127307627,0,0,0
51,30051,구리,42587,15702,18577,17182,15621,33891,37.603392,127.143869,29144.5,17879.5,24756.0,53900.5,71780.0,0.750912510448593,1,0,1
52,30052,구반포,4329,5004,4350,4532,5239,5009,37.501364,126.987332,4666.5,4441.0,5124.0,9790.5,14231.5,0.6879457541369497,0,0,1
53,30053,구산,26312,6077,10573,7331,6581,13798,37.611377,126.91727,16194.5,8952.0,10189.5,26384.0,35336.0,0.7466606293864614,0,0,0
54,30054,구성,17236,5228,6353,5104,4672,12835,37.298969,127.105664,11232.0,5728.5,8753.5,19985.5,25714.0,0.7772225246947189,1,0,0
55,30055,구의(광진구청),79359,25452,29225,25733,26797,57716,37.537077,127.085916,52405.5,27479.0,42256.5,94662.0,122141.0,0.7750223102807411,1,1,1
56,30056,구일,20800,9429,8885,8284,8971,17946,37.496756,126.870793,15114.5,8584.5,13458.5,28573.0,37157.5,0.7689699253179035,1,0,1
57,30057,구파발,67808,25064,28351,25333,23419,45360,37.636763,126.918821,46436.0,26842.0,34389.5,80825.5,107667.5,0.7506954280539624,1,1,1
58,30058,국수,1847,1206,1515,1209,706,1380,37.516169,127.399367,1526.5,1362.0,1043.0,2569.5,3931.5,0.6535673407096528,0,0,0
